time,layout_data_offset,data_0,data_1,data_2,data_3
2025/08/05 16:53:53.954631927,0,24.0,24.0,30.0,30.0
2025/08/05 16:53:54.52667302,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:54.154199469,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:54.252780178,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:54.353577886,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:54.454476886,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:54.553743636,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:54.660545094,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:54.757139636,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:54.851785261,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:54.952386011,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:55.58730053,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:55.159202636,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:55.252367303,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:55.354021595,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:55.454052428,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:55.555029636,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:55.657023053,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:55.755476262,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:55.855236387,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:55.955539512,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:56.57571887,0,30.0,30.0,30.0,30.0
2025/08/05 16:53:56.158295303,0,30.0,30.0,20.0,20.0
2025/08/05 16:53:56.260162970,0,30.0,30.0,10.0,10.0
2025/08/05 16:53:56.359231887,0,30.0,30.0,0.0,0.0
2025/08/05 16:53:56.457087595,0,30.0,30.0,-10.0,-10.0
2025/08/05 16:53:56.555502179,0,30.0,30.0,-20.0,-20.0
2025/08/05 16:53:56.661716887,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:56.756809554,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:56.856890429,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:56.956014720,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:57.55500429,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:57.160674471,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:57.254750304,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:57.353028054,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:57.454904721,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:57.558465554,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:57.659234346,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:57.756967429,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:57.857310013,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:57.957147221,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:58.53396304,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:58.156902346,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:58.255903763,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:58.356064888,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:58.456688263,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:58.555279346,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:58.661864638,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:58.756521263,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:58.856614846,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:58.955546305,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:59.55666555,0,30.0,30.0,-30.0,-30.0
2025/08/05 16:53:59.157491138,0,30.0,30.0,-30.0,-30.0
